004;Afganistan;Strana_004AfgAfganistanMember
008;Albaniya;Strana_008AlbAlbaniyaMember
010;Antarktida;Strana_010AtaAntarktidaMember
012;Alzhir;Strana_012DzaAlzhirMember
016;AmerikanskoeSamoa;Strana_016AsmAmerikanskoeSamoaMember
020;Andorra;Strana_020AndAndorraMember
024;Angola;Strana_024AgoAngolaMember
028;AntiguaIBarbuda;Strana_028AtgAntiguaIBarbudaMember
031;Azerbajdzhan;Strana_031AzeAzerbajdzhanMember
032;Argentina;Strana_032ArgArgentinaMember
036;Avstraliya;Strana_036AusAvstraliyaMember
040;Avstriya;Strana_040AutAvstriyaMember
044;Bagamy;Strana_044BhsBagamyMember
048;Baxrejn;Strana_048BhrBaxrejnMember
050;Bangladesh;Strana_050BgdBangladeshMember
051;Armeniya;Strana_051ArmArmeniyaMember
052;Barbados;Strana_052BrbBarbadosMember
056;Belgiya;Strana_056BelBelgiyaMember
060;Bermudy;Strana_060BmuBermudyMember
064;Butan;Strana_064BtnButanMember
068;BoliviyaMnogonaczionalnoeGosudarstvo;Strana_068BolBoliviyaMnogonaczionalnoeGosudarstvoMember
070;BosniyaIGerczegovina;Strana_070BihBosniyaIGerczegovinaMember
072;Botsvana;Strana_072BwaBotsvanaMember
074;OstrovBuve;Strana_074BvtOstrovBuveMember
076;Braziliya;Strana_076BraBraziliyaMember
084;Beliz;Strana_084BlzBelizMember
086;BritanskayaTerritoriyaVIndijskomOkeane;Strana_086IotBritanskayaTerritoriyaVIndijskomOkeaneMember
090;SolomonovyOstrova;Strana_090SlbSolomonovyOstrovaMember
092;VirginskieOstrovaBritanskie;Strana_092VgbVirginskieOstrovaBritanskieMember
096;BrunejDarussalam;Strana_096BrnBrunejDarussalamMember
100;Bolgariya;Strana_100BgrBolgariyaMember
104;Myanma;Strana_104MmrMyanmaMember
108;Burundi;Strana_108BdiBurundiMember
112;Belarus;Strana_112BlrBelarusMember
116;Kambodzha;Strana_116KhmKambodzhaMember
120;Kamerun;Strana_120CmrKamerunMember
124;Kanada;Strana_124CanKanadaMember
132;KaboVerde;Strana_132CpvKaboVerdeMember
136;OstrovaKajman;Strana_136CymOstrovaKajmanMember
140;CZentralnoAfrikanskayaRespublika;Strana_140CafCZentralnoAfrikanskayaRespublikaMember
144;SHriLanka;Strana_144LkaSHriLankaMember
148;CHad;Strana_148TcdCHadMember
152;CHili;Strana_152ChlCHiliMember
156;Kitaj;Strana_156ChnKitajMember
158;TajvanKitaj;Strana_158TwnTajvanKitajMember
162;OstrovRozhdestva;Strana_162CxrOstrovRozhdestvaMember
166;KokosovyeKilingOstrova;Strana_166CckKokosovyeKilingOstrovaMember
170;Kolumbiya;Strana_170ColKolumbiyaMember
174;Komory;Strana_174ComKomoryMember
175;Majotta;Strana_175MytMajottaMember
178;Kongo;Strana_178CogKongoMember
180;KongoDemokraticheskayaRespublika;Strana_180CodKongoDemokraticheskayaRespublikaMember
184;OstrovaKuka;Strana_184CokOstrovaKukaMember
188;KostaRika;Strana_188CriKostaRikaMember
191;Xorvatiya;Strana_191HrvXorvatiyaMember
192;Kuba;Strana_192CubKubaMember
196;Kipr;Strana_196CypKiprMember
203;CHeshskayaRespublika;Strana_203CzeCHeshskayaRespublikaMember
204;Benin;Strana_204BenBeninMember
208;Daniya;Strana_208DnkDaniyaMember
212;Dominika;Strana_212DmaDominikaMember
214;DominikanskayaRespublika;Strana_214DomDominikanskayaRespublikaMember
218;Ekvador;Strana_218EcuEkvadorMember
222;ElSalvador;Strana_222SlvElSalvadorMember
226;EkvatorialnayaGvineya;Strana_226GnqEkvatorialnayaGvineyaMember
231;Efiopiya;Strana_231EthEfiopiyaMember
232;Eritreya;Strana_232EriEritreyaMember
233;Estoniya;Strana_233EstEstoniyaMember
234;FarerskieOstrova;Strana_234FroFarerskieOstrovaMember
238;FolklendskieOstrovaMalvinskie;Strana_238FlkFolklendskieOstrovaMalvinskieMember
239;YUzhnayaDzhordzhiyaIYUzhnyeSandvichevyOstrova;Strana_239SgsYUzhnayaDzhordzhiyaIYUzhnyeSandvichevyOstrovaMember
242;Fidzhi;Strana_242FjiFidzhiMember
246;Finlyandiya;Strana_246FinFinlyandiyaMember
248;ElandskieOstrova;Strana_248AlaElandskieOstrovaMember
250;Francziya;Strana_250FraFrancziyaMember
254;FranczuzskayaGviana;Strana_254GufFranczuzskayaGvianaMember
258;FranczuzskayaPolineziya;Strana_258PyfFranczuzskayaPolineziyaMember
260;FranczuzskieYUzhnyeTerritorii;Strana_260AtfFranczuzskieYUzhnyeTerritoriiMember
262;Dzhibuti;Strana_262DjiDzhibutiMember
266;Gabon;Strana_266GabGabonMember
